[2020-01-04 13:18:09]	,        LuaContext::WorldTracker, 8.96 ms
[2020-01-04 13:18:09]	,    GameCoreEvent::ResearchChanged, 9.35 ms
[2020-01-04 13:18:09]	,----- FRAME: 8319 time: 16.60ms Moving avg: 16.60ms 51 frames since last 
[2020-01-04 13:18:11]	,LuaContext::WorldTracker, 7.57 ms
[2020-01-04 13:18:11]	,GameCoreEvent::ResearchCompleted, 8.65 ms
[2020-01-04 13:18:11]	,----- FRAME: 8463 time: 17.01ms Moving avg: 16.58ms 145 frames since last 
[2020-01-04 13:18:13]	,UIManager_ProcessInput, 174.81 ms
[2020-01-04 13:18:13]	,----- FRAME: 8565 time: 20.20ms Moving avg: 16.51ms 103 frames since last 
[2020-01-04 13:18:46]	,UIManager_ProcessInput, 92.08 ms
[2020-01-04 13:18:46]	,----- FRAME: 10561 time: 7.45ms Moving avg: 16.25ms 1997 frames since last 
[2020-01-04 13:18:47]	,UIManager_ProcessInput, 173.91 ms
[2020-01-04 13:18:47]	,----- FRAME: 10613 time: 24.61ms Moving avg: 15.98ms 53 frames since last 
[2020-01-04 13:19:16]	,LuaContext::WorldTracker, 12.92 ms
[2020-01-04 13:19:16]	,LuaContext::TechTree, 173.06 ms
[2020-01-04 13:19:16]	,GameCoreEvent::ResearchChanged, 186.47 ms
[2020-01-04 13:19:16]	,LuaContext::TechTree, 172.02 ms
[2020-01-04 13:19:16]	,GameCoreEvent::ResearchQueueChanged, 172.07 ms
[2020-01-04 13:19:16]	,Civ6App_PublishGameCoreEvents, 358.93 ms
[2020-01-04 13:19:16]	,Civ6App_PublishEvents, 358.96 ms
[2020-01-04 13:19:16]	,----- FRAME: 12307 time: 365.68ms Moving avg: 21.82ms 1695 frames since last 
[2020-01-04 13:19:16]	,                UIManager_Update, 23.58 ms
[2020-01-04 13:19:16]	,----- FRAME: 12308 time: 34.89ms Moving avg: 22.11ms 2 frames since last 
[2020-01-04 13:19:22]	,LuaContext::TechTree, 173.78 ms
[2020-01-04 13:19:22]	,GameCoreEvent::ResearchQueueChanged, 173.82 ms
[2020-01-04 13:19:22]	,Civ6App_PublishGameCoreEvents, 173.88 ms
[2020-01-04 13:19:22]	,Civ6App_PublishEvents, 173.91 ms
[2020-01-04 13:19:22]	,----- FRAME: 12632 time: 186.72ms Moving avg: 18.37ms 325 frames since last 
[2020-01-04 13:19:31]	,ClutterContext_Update, 23.46 ms
[2020-01-04 13:19:31]	,StrategicView_Render, 13.79 ms
[2020-01-04 13:19:31]	,Minimap_Render, 13.86 ms
[2020-01-04 13:19:31]	,GameViewState_Tick, 115.95 ms
[2020-01-04 13:19:31]	,Civ6App_UpdateFrame, 120.31 ms
[2020-01-04 13:19:31]	,----- FRAME: 13173 time: 131.32ms Moving avg: 18.12ms 542 frames since last 
[2020-01-04 13:19:31]	,GameViewState_Tick, 106.89 ms
[2020-01-04 13:19:31]	,Civ6App_UpdateFrame, 133.68 ms
[2020-01-04 13:19:31]	,----- FRAME: 13185 time: 143.88ms Moving avg: 19.67ms 13 frames since last 
[2020-01-04 13:19:31]	,Civ6App_UpdateFrame, 122.85 ms
[2020-01-04 13:19:31]	,----- FRAME: 13195 time: 129.04ms Moving avg: 21.04ms 11 frames since last 
[2020-01-04 13:19:34]	,GameCoreEvent::TurnBegin, 9.99 ms
[2020-01-04 13:19:34]	,LuaContext::WorldTracker, 27.23 ms
[2020-01-04 13:19:34]	,SerialEvent::GameCoreEventPublishComplete, 27.28 ms
[2020-01-04 13:19:34]	,GameViewState_UpdateCache, 60.62 ms
[2020-01-04 13:19:34]	,GameViewState_UpdateGameCore, 60.81 ms
[2020-01-04 13:19:34]	,----- FRAME: 13342 time: 122.85ms Moving avg: 17.99ms 148 frames since last 
[2020-01-04 13:19:34]	,            LuaContext::WorldTracker, 11.77 ms
[2020-01-04 13:19:34]	,        GameCoreEvent::ResearchChanged, 12.10 ms
[2020-01-04 13:19:34]	,            LuaContext::WorldTracker, 15.49 ms
[2020-01-04 13:19:34]	,        GameCoreEvent::CivicChanged, 15.86 ms
[2020-01-04 13:19:34]	,    Civ6App_PublishGameCoreEvents, 35.41 ms
[2020-01-04 13:19:34]	,----- FRAME: 13351 time: 45.87ms Moving avg: 17.86ms 10 frames since last 
[2020-01-04 13:19:41]	,UIManager_ProcessInput, 59.33 ms
[2020-01-04 13:19:41]	,----- FRAME: 13769 time: 13.92ms Moving avg: 16.33ms 419 frames since last 
[2020-01-04 13:19:44]	,LuaContext::CityStates, 20.19 ms
[2020-01-04 13:19:44]	,GameCoreEvent::InfluenceGiven, 20.22 ms
[2020-01-04 13:19:44]	,LuaContext::CityStates, 16.58 ms
[2020-01-04 13:19:44]	,GameCoreEvent::InfluenceChanged, 16.77 ms
[2020-01-04 13:19:44]	,LuaContext::CityStates, 17.66 ms
[2020-01-04 13:19:44]	,GameCoreEvent::InfluenceGiven, 17.71 ms
[2020-01-04 13:19:44]	,LuaContext::CityStates, 17.70 ms
[2020-01-04 13:19:44]	,GameCoreEvent::InfluenceChanged, 17.85 ms
[2020-01-04 13:19:44]	,LuaContext::DiplomacyRibbon, 6.19 ms
[2020-01-04 13:19:44]	,GameCoreEvent::DiplomacyMeet, 6.22 ms
[2020-01-04 13:19:44]	,LuaContext::CityStates, 17.31 ms
[2020-01-04 13:19:44]	,GameCoreEvent::InfluenceGiven, 17.35 ms
[2020-01-04 13:19:44]	,LuaContext::CityStates, 17.43 ms
[2020-01-04 13:19:44]	,GameCoreEvent::InfluenceChanged, 17.56 ms
[2020-01-04 13:19:44]	,LuaContext::HistoricMoments, 59.35 ms
[2020-01-04 13:19:44]	,GameCoreEvent::NotificationActivated, 59.45 ms
[2020-01-04 13:19:44]	,Civ6App_PublishGameCoreEvents, 186.04 ms
[2020-01-04 13:19:44]	,Civ6App_PublishEvents, 186.20 ms
[2020-01-04 13:19:44]	,ClutterContext_Update, 15.52 ms
[2020-01-04 13:19:44]	,ModelContext_updateVises, 10.19 ms
[2020-01-04 13:19:44]	,WorldView_Update_JobSetWait, 12.87 ms
[2020-01-04 13:19:44]	,Civ6App_UpdateFrame, 130.27 ms
[2020-01-04 13:19:44]	,----- FRAME: 13964 time: 316.65ms Moving avg: 21.20ms 196 frames since last 
[2020-01-04 13:19:49]	,LuaContext::DiplomacyActionView, 222.26 ms
[2020-01-04 13:19:49]	,GameCoreEvent::DiplomacyStatement, 222.41 ms
[2020-01-04 13:19:49]	,Civ6App_PublishGameCoreEvents, 226.43 ms
[2020-01-04 13:19:50]	,LocalMachineEvent::ShowLeaderScreen, 951.40 ms
[2020-01-04 13:19:50]	,Civ6App_PublishLocalMachine, 951.43 ms
[2020-01-04 13:19:50]	,Civ6App_PublishEvents, 1178.05 ms
[2020-01-04 13:19:50]	,----- FRAME: 14221 time: 1197.54ms Moving avg: 34.77ms 258 frames since last 
[2020-01-04 13:19:50]	,    Civ6App_Graphics_IncFrame, 31.76 ms
[2020-01-04 13:19:50]	,----- FRAME: 14224 time: 42.63ms Moving avg: 35.29ms 4 frames since last 
[2020-01-04 13:19:50]	,            Graphics_SubmissionIncFrame, 34.67 ms
[2020-01-04 13:19:50]	,        Civ6App_Graphics_IncFrame, 34.83 ms
[2020-01-04 13:19:50]	,----- FRAME: 14225 time: 40.03ms Moving avg: 35.65ms 2 frames since last 
[2020-01-04 13:19:50]	,            Graphics_SubmissionIncFrame, 30.80 ms
[2020-01-04 13:19:50]	,        Civ6App_Graphics_IncFrame, 31.00 ms
[2020-01-04 13:19:50]	,----- FRAME: 14226 time: 42.18ms Moving avg: 36.05ms 2 frames since last 
[2020-01-04 13:19:50]	,            Graphics_SubmissionIncFrame, 34.98 ms
[2020-01-04 13:19:50]	,        Civ6App_Graphics_IncFrame, 35.18 ms
[2020-01-04 13:19:50]	,----- FRAME: 14227 time: 40.67ms Moving avg: 36.43ms 2 frames since last 
